strain	Unnamed: 0	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing	name	hct
hCoV-19/USA/WA-S4840/2021	85536	betacoronavirus	EPI_ISL_1049688	?	2021-01-21	North America	USA	Washington	King County	North America	USA	Washington	genome	29865	Human	unknown	unknown	?	L.3	GR	Altius Institute for Biomedical Sciences	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Ryan Alexander, Daniel Bates, Rebecca Bruders, Stephanie DeBaun, Clem Green, Muhammad Halimun, Jessica Halow, Kneshay Harper, Matt Hartman, Andrew Meuser, Alex Nguyen, Truong Nguyen, Sofia Olsson, Sadie Patraw, Hannah Petersen, Tobias Ragoczy, Joshua Richards, Jacob Rodriguez, John Stamatoyannopoulos, Julia Wald, Olivia Waltner, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Helen Y. Chu, Jay Shendure, Trevor Bedford	https://www.gisaid.org/	?	?	2021-02-22	?	hCoV-19/USA/WA-S4840/2021	no
hCoV-19/USA/WA-PHL-021477/2022	113600	betacoronavirus	EPI_ISL_13278061	?	2022-06-02	North America	USA	Washington	King County	North America	USA	Washington	genome	29347	Human	unknown	unknown	?	BA.2.12.1	GRA	WA PHL	Washington State Department of Health Public Health Laboratories	Drew MacKellar, Philip Dykema, Denny Russell, Holly Halstead, Kathryn Sickles, Kristin Roche, Ardizon Valdez, Claire Howell, Alex Lathum, JohnAric Peterson, Avi Singh, Rebecca Cao	https://www.gisaid.org/	?	?	2022-06-13	?	hCoV-19/USA/WA-PHL-021477/2022	no
hCoV-19/USA/WA-S12596/2021	27940	betacoronavirus	EPI_ISL_5329162	?	2021-09-27	North America	USA	Washington	King County	North America	USA	Washington	genome	29666	Human	unknown	unknown	?	AY.3	GK	Seattle Flu Study	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2021-10-19	?	hCoV-19/USA/WA-S12596/2021	yes
hCoV-19/USA/WA-S5355/2020	46896	betacoronavirus	EPI_ISL_1222569	?	2020-10-24	North America	USA	Washington	King County	North America	USA	Washington	genome	29865	Human	unknown	unknown	?	B.1.2	GH	WA State PHL	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Romesh Gautom, Geoff Melly, Brian Hiatt, Philip Dykema, Scott Lindquist, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Helen Y. Chu, Jay Shendure, Trevor Bedford	https://www.gisaid.org/	?	?	2021-03-11	?	hCoV-19/USA/WA-S5355/2020	no
hCoV-19/USA/WA-S19467/2022	72387	betacoronavirus	EPI_ISL_11961176	?	2022-03-29	North America	USA	Washington	King County	North America	USA	Washington	genome	29780	Human	unknown	unknown	?	BA.2	GRA	Seattle Flu Study	Seattle Flu Study	Chris D. Frazar, Jover Lee, Erica Ryke, Luis Gamboa, Evan McDermot, Jeremy Stone, Tom Kolar, Peter D. Han, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Barry R. Lutz, Alpana Waghmare, Cecile Viboud, Lea M. Starita, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2022-04-11	?	hCoV-19/USA/WA-S19467/2022	yes
hCoV-19/USA/WA-S11167/2021	14231	betacoronavirus	EPI_ISL_4234537	?	2021-08-10	North America	USA	Washington	King County	North America	USA	Washington	genome	29324	Human	unknown	unknown	?	AY.117	GK	Seattle Flu Study	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2021-09-16	?	hCoV-19/USA/WA-S11167/2021	yes
hCoV-19/USA/WA-S4532/2021	84949	betacoronavirus	EPI_ISL_1015875	?	2021-01-21	North America	USA	Washington	King County	North America	USA	Washington	genome	29648	Human	unknown	unknown	?	B.1.2	GH	Altius Institute for Biomedical Sciences	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Ryan Alexander, Daniel Bates, Rebecca Bruders, Stephanie DeBaun, Clem Green, Muhammad Halimun, Jessica Halow, Kneshay Harper, Matt Hartman, Andrew Meuser, Alex Nguyen, Truong Nguyen, Sofia Olsson, Sadie Patraw, Hannah Petersen, Tobias Ragoczy, Joshua Richards, Jacob Rodriguez, John Stamatoyannopoulos, Julia Wald, Olivia Waltner, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Helen Y. Chu, Jay Shendure, Trevor Bedford	https://www.gisaid.org/	?	?	2021-02-17	?	hCoV-19/USA/WA-S4532/2021	no
hCoV-19/USA/WA-S6905/2021	94718	betacoronavirus	EPI_ISL_2011259	?	2021-04-12	North America	USA	Washington	King County	North America	USA	Washington	genome	29846	Human	unknown	unknown	?	B.1.1.7	GRY	Seattle Flu Study	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2021-05-11	?	hCoV-19/USA/WA-S6905/2021	yes
hCoV-19/USA/WA-S2864/2020	45355	betacoronavirus	EPI_ISL_596395	?	2020-09-19	North America	USA	Washington	King County	North America	USA	Washington	genome	29857	Human	unknown	unknown	?	B.1.1.337	GR	Seattle Flu Study	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Karen Cowgill, Stephanie Schrag, Jeff Duchin, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Helen Y. Chu, Trevor Bedford, Jay Shendure	https://www.gisaid.org/	?	?	2020-10-27	?	hCoV-19/USA/WA-S2864/2020	no
hCoV-19/USA/WA-PHL-017629/2022	74250	betacoronavirus	EPI_ISL_12228952	?	2022-03-24	North America	USA	Washington	King County	North America	USA	Washington	genome	29430	Human	unknown	unknown	?	BA.2	GRA	Northwest Laboratory	Washington State Department of Health Public Health Laboratories	Drew MacKellar, Philip Dykema, Denny Russell, Holly Halstead, Kathryn Sickles, Kristin Roche, Ardizon Valdez, Claire Howell, Alex Lathum, JohnAric Peterson, Avi Singh, Rebecca Cao	https://www.gisaid.org/	?	?	2022-04-22	?	hCoV-19/USA/WA-PHL-017629/2022	no
